Manufacturer,Model,Unit Sales,Price,Year Resale Value,Retention %,Retention Value,Engine Size,Horsepower,HP Level,Vehicle_type,Fuel Efficiency,Power Perf Factor,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Latest Launch,,,,,,,
Ford,Escort,70227,"$12,070","$7,425",62%,POOR,2,110,Medium HP,Passenger,30,44.08,98.4,67.00,174.7,2.468,12.7,31-03-2012,,,,,,,
Ford,Mustang,113369,"$21,560","$12,760",59%,POOR,3.8,190,Medium HP,Passenger,24,76.51,101.3,73.10,183.2,3.203,15.7,31-01-2012,,,,,,,
Ford,Contour,35068,"$17,035","$8,835",52%,POOR,2.5,170,Medium HP,Passenger,25,67.35,106.5,69.10,184.6,2.769,15,20-08-2012,,,,,,,
Ford,Taurus,245815,"$17,885","$10,055",56%,POOR,3,155,Medium HP,Passenger,24,62.50,108.5,73.00,197.6,3.368,16,20-12-2011,,,,,,,
Ford,Focus,175670,"$12,315","$8,670",70%,GOOD,2,107,Medium HP,Passenger,30,43.12,103.0,66.90,174.8,2.564,13.2,22-07-2012,,,,,,,
Ford,Crown Victoria,63403,"$22,195","$14,210",64%,POOR,4.6,200,Medium HP,Passenger,21,80.50,114.7,78.20,212.0,3.908,19,26-09-2011,,,,,,,
Ford,Explorer,276747,"$31,930","$16,640",52%,POOR,4,210,Medium HP,Car,19,87.64,111.6,70.20,190.7,3.876,21,25-04-2012,,,,,,,
Ford,Windstar,155787,"$21,410","$13,175",62%,POOR,3,150,Medium HP,Car,21,62.10,120.7,76.60,200.9,3.761,26,25-02-2012,,,,,,,
Ford,Expedition,125338,"$36,135","$23,575",65%,POOR,4.6,240,Medium HP,Car,16,100.02,119.0,78.70,204.6,4.808,26,14-09-2012,,,,,,,
Ford,Ranger,220650,"$12,050","$7,850",65%,POOR,2.5,119,Medium HP,Car,23,47.39,117.5,69.40,200.7,3.086,20,14-01-2012,,,,,,,
Ford,F-Series,540561,"$26,935","$15,075",56%,POOR,4.6,220,Medium HP,Car,18,89.40,138.5,79.10,224.5,4.241,25.1,16-08-2012,,,,,,,
Honda,Civic,199685,"$12,885","$9,850",76%,GOOD,1.6,106,Medium HP,Passenger,32,42.88,103.2,67.10,175.1,2.339,11.9,21-10-2011,,,,,,,
Honda,Accord,230902,"$15,350","$13,210",86%,GOOD,2.3,135,Medium HP,Passenger,27,54.27,106.9,70.30,188.8,2.932,17.1,20-05-2012,,,,,,,
Honda,CR-V,73203,"$20,550","$17,710",86%,GOOD,2,146,Medium HP,Car,24,60.09,103.2,68.90,177.6,3.219,15.3,21-03-2012,,,,,,,
Honda,Passport,12855,"$26,600","$17,525",66%,POOR,3.2,205,Medium HP,Car,19,83.60,106.4,70.40,178.2,3.857,21.1,09-10-2012,,,,,,,
Honda,Odyssey,76029,"$26,000","$19,490",75%,GOOD,3.5,210,Medium HP,Car,23,85.22,118.1,75.60,201.2,4.288,20,08-02-2012,,,,,,,
Hyundai,Accent,41184,"$9,699","$5,860",60%,POOR,1.5,92,Low HP,Passenger,31,36.67,96.1,65.70,166.7,2.240,11.9,10-09-2012,,,,,,,
Hyundai,Elantra,66692,"$11,799","$7,825",66%,POOR,2,140,Medium HP,Passenger,27,54.59,100.4,66.90,174.0,2.626,14.5,15-11-2011,,,,,,,
Hyundai,Sonata,29450,"$14,999","$8,910",59%,POOR,2.4,148,Medium HP,Passenger,25,58.76,106.3,71.60,185.4,3.072,17.2,14-06-2012,,,,,,,
Infiniti,I30,23713,"$29,465","$19,690",67%,POOR,3,227,Medium HP,Passenger,25,92.44,108.3,70.20,193.7,3.342,18.5,15-04-2012,,,,,,,
Jaguar,S-Type,15467,"$42,800","$33,219",78%,GOOD,3,240,Medium HP,Passenger,21,102.18,114.5,71.60,191.3,3.650,18.4,03-11-2012,,,,,,,
Jeep,Wrangler,55557,"$14,460","$13,475",93%,GOOD,2.5,120,Medium HP,Car,17,48.67,93.4,66.70,152.0,3.045,19,04-03-2012,,,,,,,
Jeep,Cherokee,80556,"$21,620","$13,775",64%,POOR,4,190,Medium HP,Car,20,76.58,101.4,69.40,167.5,3.194,20,05-10-2012,,,,,,,
Jeep,Grand Cherokee,157040,"$26,895","$18,810",70%,GOOD,4,195,Medium HP,Car,19,80.39,105.9,72.30,181.5,3.880,20.5,10-12-2011,,,,,,,
Lexus,ES300,24072,"$31,505","$26,975",86%,GOOD,3,210,Medium HP,Passenger,23,87.21,105.1,70.50,190.2,3.373,18.5,09-07-2012,,,,,,,
Lexus,GS300,12698,"$37,805","$32,075",85%,GOOD,3,225,Medium HP,Passenger,23,94.95,110.2,70.90,189.2,3.638,19.8,10-05-2012,,,,,,,
Lexus,GS400,3334,"$46,305","$38,955",84%,GOOD,4,300,High HP,Passenger,21,125.01,110.2,70.90,189.2,3.693,19.8,28-11-2012,,,,,,,
Lexus,LS400,6375,"$54,005","$40,375",75%,GOOD,4,290,Medium HP,Passenger,22,124.45,112.2,72.00,196.7,3.890,22.5,29-03-2012,,,,,,,
Lexus,LX470,9126,"$60,105","$43,870",73%,GOOD,4.7,230,Medium HP,Car,15,105.76,112.2,76.40,192.5,5.401,25.4,30-10-2012,,,,,,,
Lexus,RX300,51238,"$34,605","$29,140",84%,GOOD,3,220,Medium HP,Car,21,91.94,103.0,71.50,180.1,3.900,17.2,04-01-2012,,,,,,,
Lincoln,Continental,13798,"$39,080","$20,525",53%,POOR,4.6,275,Medium HP,Passenger,22,113.54,109.0,73.60,208.5,3.868,20,03-08-2012,,,,,,,
Lincoln,Town car,48911,"$43,330","$21,725",50%,POOR,4.6,215,Medium HP,Passenger,21,93.96,117.7,78.20,215.3,4.121,19,04-06-2012,,,,,,,
Lincoln,Navigator,22925,"$42,660","$20,765",49%,POOR,5.4,300,High HP,Car,15,123.97,119.0,79.90,204.8,5.393,30,23-12-2012,,,,,,,
Mitsubishi,Mirage,26232,"$13,987","$8,325",60%,POOR,1.8,113,Medium HP,Passenger,30,45.83,98.4,66.50,173.6,2.250,13.2,23-04-2012,,,,,,,
Mitsubishi,Eclipse,42541,"$19,047","$10,395",55%,POOR,2.4,154,Medium HP,Passenger,24,62.44,100.8,68.90,175.4,2.910,15.9,24-11-2012,,,,,,,
Mitsubishi,Galant,55616,"$17,357","$10,595",61%,POOR,2.4,145,Medium HP,Passenger,25,58.61,103.7,68.50,187.8,2.945,16.3,29-01-2012,,,,,,,
Mitsubishi,Diamante,5711,"$24,997","$16,575",66%,POOR,3.5,210,Medium HP,Passenger,22,84.83,107.1,70.30,194.1,3.443,19,28-08-2012,,,,,,,
Mitsubishi,3000GT,110,"$25,450","$20,940",82%,GOOD,3,161,Medium HP,Passenger,21,67.54,97.2,72.40,180.3,3.131,19.8,29-06-2012,,,,,,,
Mitsubishi,Montero,11337,"$31,807","$19,125",60%,POOR,3.5,200,Medium HP,Car,18,83.92,107.3,69.90,186.6,4.520,24.3,17-01-2012,,,,,,,
Mitsubishi,Montero Sport,39348,"$22,527","$13,880",62%,POOR,3,173,Medium HP,Car,20,70.66,107.3,66.70,178.3,3.510,19.5,18-05-2012,,,,,,,
Mercury,Mystique,14351,"$16,240","$8,800",54%,POOR,2,125,Medium HP,Passenger,28,51.00,106.5,69.10,184.8,2.769,15,19-12-2012,,,,,,,
Mercury,Cougar,26529,"$16,540","$13,890",84%,GOOD,2,125,Medium HP,Passenger,30,51.11,106.4,69.60,185.0,2.892,16,23-02-2012,,,,,,,
Mercury,Sable,67956,"$19,035","$11,030",58%,POOR,3,153,Medium HP,Passenger,24,62.24,108.5,73.00,199.7,3.379,16,22-09-2012,,,,,,,
Mercury,Grand Marquis,81174,"$22,605","$14,875",66%,POOR,4.6,200,Medium HP,Passenger,21,80.66,114.7,78.20,212.0,3.958,19,24-07-2012,,,,,,,
Mercury,Mountaineer,27609,"$27,560","$20,430",74%,GOOD,4,210,Medium HP,Car,18,85.95,111.6,70.20,190.1,3.876,21,13-02-2008,,,,,,,
Mercury,Villager,20380,"$22,510","$14,795",66%,POOR,3.3,170,Medium HP,Car,21,69.67,112.2,74.90,194.7,3.944,20,20-10-2009,,,,,,,
Mercedes-B,C-Class,18392,"$31,750","$26,050",82%,GOOD,2.3,185,Medium HP,Passenger,26,78.28,105.9,67.70,177.4,3.250,16.4,24-04-2011,,,,,,,
Mercedes-B,E-Class,27602,"$49,900","$41,450",83%,GOOD,3.2,221,Medium HP,Passenger,25,98.25,111.5,70.80,189.4,3.823,21.1,12-07-2011,,,,,,,
Mercedes-B,S-Class,16774,"$69,700","$50,375",72%,GOOD,4.3,275,Medium HP,Passenger,21,125.27,121.5,73.10,203.1,4.133,23.2,13-06-2011,,,,,,,
Mercedes-B,SL-Class,3311,"$82,600","$58,600",71%,GOOD,5,302,High HP,Passenger,20,139.98,99.0,71.30,177.1,4.125,21.1,17-03-2011,,,,,,,
Mercedes-B,SLK,7998,"$38,900","$32,436",83%,GOOD,2.3,190,Medium HP,Passenger,26,82.81,94.5,67.50,157.9,3.055,15.9,16-01-2011,,,,,,,
Mercedes-B,SLK230,1526,"$41,000","$28,635",70%,GOOD,2.3,185,Medium HP,Passenger,27,81.85,94.5,67.50,157.3,2.975,14,06-08-2011,,,,,,,
Mercedes-B,CLK Coupe,11592,"$41,600","$29,200",70%,GOOD,3.2,215,Medium HP,Passenger,26,92.93,105.9,67.80,180.3,3.213,16.4,08-07-2011,,,,,,,
Mercedes-B,CL500,954,"$85,500","$63,423",74%,GOOD,5,302,High HP,Passenger,20,141.10,113.6,73.10,196.6,4.115,23.2,11-04-2011,,,,,,,
Mercedes-B,M-Class,28976,"$35,300","$28,720",81%,GOOD,3.2,215,Medium HP,Car,20,90.50,111.0,72.20,180.6,4.387,19,10-02-2011,,,,,,,
Nissan,Sentra,42643,"$13,499","$8,450",63%,POOR,1.8,126,Medium HP,Passenger,30,50.24,99.8,67.30,177.5,2.593,13.2,31-08-2011,,,,,,,
Nissan,Altima,88094,"$20,390","$11,295",55%,POOR,2.4,155,Medium HP,Passenger,25,63.31,103.1,69.10,183.5,3.012,15.9,02-08-2011,,,,,,,
Nissan,Maxima,79853,"$26,249","$15,125",58%,POOR,3,222,Medium HP,Passenger,25,89.43,108.3,70.30,190.5,3.294,18.5,06-05-2011,,,,,,,
Nissan,Quest,27308,"$26,399","$15,380",58%,POOR,3.3,170,Medium HP,Car,21,71.17,112.2,74.90,194.8,3.991,20,07-03-2011,,,,,,,
Nissan,Pathfinder,42574,"$29,299","$17,810",61%,POOR,3.3,170,Medium HP,Car,19,72.29,106.3,71.70,182.6,3.947,21,25-09-2011,,,,,,,
Nissan,Xterra,54158,"$22,799","$13,093",57%,POOR,3.3,170,Medium HP,Car,18,69.78,104.3,70.40,178.0,3.821,19.4,24-01-2011,,,,,,,
Nissan,Frontier,65005,"$17,890","$10,670",60%,POOR,3.3,170,Medium HP,Car,18,67.89,116.1,66.50,196.1,3.217,19.4,27-08-2011,,,,,,,
Oldsmobile,Cutlass,1112,"$18,145","$11,240",62%,POOR,3.1,150,Medium HP,Passenger,25,60.86,107.0,69.40,192.0,3.102,15.2,31-05-2011,,,,,,,
Oldsmobile,Intrigue,38554,"$24,150","$17,100",71%,GOOD,3.5,215,Medium HP,Passenger,23,86.27,109.0,73.60,195.9,3.455,18,01-04-2011,,,,,,,
Oldsmobile,Alero,80255,"$18,270","$11,459",63%,POOR,2.4,150,Medium HP,Passenger,27,60.73,107.0,70.10,186.7,2.958,15,20-10-2009,,,,,,,
Oldsmobile,Aurora,14690,"$36,229","$19,890",55%,POOR,4,250,Medium HP,Passenger,22,103.44,113.8,74.40,205.4,3.967,18.5,18-02-2011,,,,,,,
Oldsmobile,Bravada,20017,"$31,598","$19,925",63%,POOR,4.3,190,Medium HP,Car,19,80.51,107.0,67.80,181.2,4.068,17.5,21-09-2011,,,,,,,
Oldsmobile,Silhouette,24361,"$25,345","$15,240",60%,POOR,3.4,185,Medium HP,Car,22,76.10,120.0,72.20,201.4,3.948,25,25-06-2011,,,,,,,
Plymouth,Neon,32734,"$12,640","$7,750",61%,POOR,2,132,Medium HP,Passenger,29,52.08,105.0,74.40,174.4,2.559,12.5,26-04-2011,,,,,,,
Plymouth,Breeze,5240,"$16,080","$9,800",61%,POOR,2,132,Medium HP,Passenger,27,53.41,108.0,71.00,186.3,2.942,16,14-11-2011,,,,,,,
Plymouth,Voyager,24155,"$18,850","$12,025",64%,POOR,2.4,150,Medium HP,Car,24,60.95,113.3,76.80,186.3,3.528,20,24-04-2011,,,,,,,
Plymouth,Prowler,1872,"$43,000","$30,434",71%,GOOD,3.5,253,Medium HP,Passenger,21,106.98,113.3,76.30,165.4,2.850,12,27-06-2012,,,,,,,
Pontiac,Sunfire,51645,"$21,610","$13,790",64%,POOR,2.4,150,Medium HP,Passenger,27,62.02,104.1,68.40,181.9,2.906,15,25-01-2012,,,,,,,
Pontiac,Grand Am,131097,"$19,720","$10,290",52%,POOR,3.4,175,Medium HP,Passenger,25,70.39,107.0,70.40,186.3,3.091,15.2,26-11-2012,,,,,,,
Pontiac,Firebird,19911,"$25,310","$17,805",70%,GOOD,3.8,200,Medium HP,Passenger,25,81.49,101.1,74.50,193.4,3.492,16.8,16-06-2012,,,,,,,
Pontiac,Grand Prix,92364,"$21,665","$14,010",65%,POOR,3.8,195,Medium HP,Passenger,25,78.32,110.5,72.70,196.5,3.396,18,15-10-2012,,,,,,,
Pontiac,Bonneville,35945,"$23,755","$13,225",56%,POOR,3.8,205,Medium HP,Passenger,24,82.66,112.2,72.60,202.5,3.590,17.5,18-05-2011,,,,,,,
Pontiac,Montana,39572,"$25,635","$14,215",55%,POOR,3.4,185,Medium HP,Car,23,76.21,120.0,72.70,201.3,3.942,25,22-07-2012,,,,,,,
Porsche,Boxter,8982,"$41,430","$41,250",100%,GOOD,2.7,217,Medium HP,Passenger,22,93.44,95.2,70.10,171.0,2.778,17,19-02-2012,,,,,,,
Porsche,Carrera Coupe,1280,"$71,020","$60,625",85%,GOOD,3.4,300,High HP,Passenger,21,134.39,92.6,69.50,174.5,3.032,17,21-12-2012,,,,,,,
Porsche,Carrera Cabrio,1866,"$74,970","$67,550",90%,GOOD,3.4,300,High HP,Passenger,23,135.91,92.6,69.50,174.5,3.075,17,11-07-2011,,,,,,,
Saab,9-5,9191,"$33,120","$22,789",69%,POOR,2.3,170,Medium HP,Passenger,23,73.50,106.4,70.60,189.2,3.280,18.5,09-11-2012,,,,,,,
Saab,9-3,12115,"$26,100","$18,255",70%,GOOD,2,185,Medium HP,Passenger,23,76.02,102.6,67.40,182.2,2.990,16.9,12-06-2011,,,,,,,
Saturn,SL,80620,"$10,685","$9,200",86%,GOOD,1.9,100,Medium HP,Passenger,33,39.99,102.4,66.40,176.9,2.332,12.1,16-08-2012,,,,,,,
Saturn,SC,24546,"$12,535","$10,590",84%,GOOD,1.9,100,Medium HP,Passenger,33,40.70,102.4,66.40,180.0,2.367,12.1,16-03-2011,,,,,,,
Saturn,SW,5223,"$14,290","$10,790",76%,GOOD,1.9,124,Medium HP,Passenger,31,49.87,102.4,66.40,176.9,2.452,12.1,15-01-2011,,,,,,,
Saturn,LW,8472,"$18,835","$13,700",73%,GOOD,2.2,137,Medium HP,Passenger,27,56.30,106.5,69.00,190.4,3.075,13.1,05-08-2011,,,,,,,
Saturn,LS,49989,"$15,010","$9,900",66%,POOR,2.2,137,Medium HP,Passenger,28,54.82,106.5,69.00,190.4,2.910,13.1,04-12-2012,,,,,,,
Subaru,Outback,47107,"$22,695","$16,770",74%,GOOD,2.5,165,Medium HP,Passenger,25,67.77,103.5,67.50,185.8,3.415,16.9,07-07-2011,,,,,,,
Subaru,Forester,33028,"$20,095","$14,832",74%,GOOD,2.5,165,Medium HP,Car,24,66.76,99.4,68.30,175.2,3.125,15.9,10-09-2012,,,,,,,
Toyota,Corolla,142535,"$13,108","$10,025",76%,GOOD,1.8,120,Medium HP,Passenger,33,47.97,97.0,66.70,174.0,2.420,13.2,11-04-2011,,,,,,,
Toyota,Camry,247994,"$17,518","$13,245",76%,GOOD,2.2,133,Medium HP,Passenger,27,54.37,105.2,70.10,188.5,2.998,18.5,10-02-2011,,,,,,,
Toyota,Avalon,63849,"$25,545","$18,140",71%,GOOD,3,210,Medium HP,Passenger,26,84.91,107.1,71.70,191.9,3.417,18.5,31-08-2011,,,,,,,
Toyota,Celica,33269,"$16,875","$15,445",92%,GOOD,1.8,140,Medium HP,Passenger,31,56.50,102.4,68.30,170.5,2.425,14.5,29-12-2012,,,,,,,
Toyota,Tacoma,84087,"$11,528","$9,575",83%,GOOD,2.4,142,Medium HP,Car,23,55.30,103.3,66.50,178.7,2.580,15.1,01-08-2011,,,,,,,
Toyota,Sienna,65119,"$22,368","$18,689",84%,GOOD,3,194,Medium HP,Car,22,78.03,114.2,73.40,193.5,3.759,20.9,05-10-2012,,,,,,,
Toyota,RAV4,25106,"$16,888","$13,325",79%,GOOD,2,127,Medium HP,Car,27,51.96,94.9,66.70,163.8,2.668,15.3,06-05-2011,,,,,,,
Toyota,4Runner,68411,"$22,288","$19,425",87%,GOOD,2.7,150,Medium HP,Car,23,62.36,105.3,66.50,183.3,3.440,18.5,07-03-2011,,,,,,,
Toyota,Land Cruiser,9835,"$51,728","$34,080",66%,POOR,4.7,230,Medium HP,Car,15,102.53,112.2,76.40,192.5,5.115,25.4,25-09-2011,,,,,,,
Volkswagen,Golf,9761,"$14,900","$11,425",77%,GOOD,2,115,Medium HP,Passenger,26,46.94,98.9,68.30,163.3,2.767,14.5,24-01-2011,,,,,,,
Volkswagen,Jetta,83721,"$16,700","$13,240",79%,GOOD,2,115,Medium HP,Passenger,26,47.64,98.9,68.30,172.3,2.853,14.5,27-08-2011,,,,,,,
Volkswagen,Passat,51102,"$21,200","$16,725",79%,GOOD,1.8,150,Medium HP,Passenger,27,61.70,106.4,68.50,184.1,3.043,16.4,30-10-2012,,,,,,,
Volkswagen,Cabrio,9569,"$19,990","$16,575",83%,GOOD,2,115,Medium HP,Passenger,26,48.91,97.4,66.70,160.4,3.079,13.7,31-05-2011,,,,,,,
Volkswagen,GTI,5596,"$17,500","$13,760",79%,GOOD,2,115,Medium HP,Passenger,26,47.95,98.9,68.30,163.3,2.762,14.6,01-04-2011,,,,,,,
Volkswagen,Beetle,49463,"$15,900","$11,986",75%,GOOD,2,115,Medium HP,Passenger,26,47.33,98.9,67.90,161.1,2.769,14.5,20-10-2011,,,,,,,
Volvo,S40,16957,"$23,400","$14,334",61%,POOR,1.9,160,Medium HP,Passenger,25,66.11,100.5,67.60,176.6,2.998,15.8,18-02-2011,,,,,,,
Volvo,V40,3545,"$24,400","$15,252",63%,POOR,1.9,160,Medium HP,Passenger,25,66.50,100.5,67.60,176.6,3.042,15.8,21-09-2011,,,,,,,
Volvo,S70,15245,"$27,500","$18,900",69%,POOR,2.4,168,Medium HP,Passenger,25,70.65,104.9,69.30,185.9,3.208,17.9,24-11-2012,,,,,,,
Volvo,V70,17531,"$28,800","$20,223",70%,GOOD,2.4,168,Medium HP,Passenger,25,71.16,104.9,69.30,186.2,3.259,17.9,25-06-2011,,,,,,,
Volvo,C70,3493,"$45,500","$34,175",75%,GOOD,2.3,236,Medium HP,Passenger,23,101.62,104.9,71.50,185.7,3.601,18.5,26-04-2011,,,,,,,
Volvo,S80,18969,"$36,000","$26,403",73%,GOOD,2.9,201,Medium HP,Passenger,24,85.74,109.9,72.10,189.8,3.600,21.1,14-11-2011,,,,,,,
